Number_of_failed_missions,Name,Number_of_succeeded_missions,Leader_of_failed_missions,Leader_of_succeeded_missions,Voted_for_failed_missions,Voted_for_succeeded_missions,Downvoted_for_failed_missions,Downvoted_for_succeeded_missions,Highest_spy_probability_index,Player_selection_variety,Most_selected_player,Selected_the_most_by_player,Is_spy
2,3,0,1,0,2,0,1,0,0.5,1.0,1,1,0
2,1,0,1,0,3,0,0,0,0.5,1.0,1,2,0
2,5,0,1,0,2,0,1,0,0.5,1.0,1,2,1
0,2,0,0,0,2,0,1,0,0.0,0.0,0,0,0
1,6,0,0,0,2,0,1,0,0.3333333333333333,0.0,0,1,1
2,2,0,1,0,3,0,0,0,0.5,1.0,1,2,1
2,5,0,1,0,2,0,1,0,0.5,1.0,1,1,0
2,3,0,1,0,3,0,0,0,0.5,1.0,1,2,0
1,1,0,0,0,3,0,0,0,0.3333333333333333,0.0,0,1,1
0,6,0,0,0,3,0,0,0,0.0,0.0,0,0,0
3,4,1,0,1,1,1,2,1,0.3333333333333333,1.0,1,4,0
2,2,2,1,0,2,2,1,0,0.3333333333333333,1.0,1,4,0
1,5,1,0,1,1,2,2,0,0.3333333333333333,1.0,1,3,0
2,1,0,1,0,3,2,0,0,0.3333333333333333,1.0,1,3,1
1,6,0,1,0,3,2,0,0,0.3333333333333333,1.0,1,4,1
0,5,1,0,1,1,1,2,0,0.0,1.0,1,0,0
2,4,0,1,0,2,1,1,0,0.3333333333333333,1.0,1,3,1
2,1,0,1,0,3,1,0,0,0.5,1.0,1,2,1
3,2,0,1,0,3,1,0,0,0.5,1.0,1,3,0
1,6,1,0,0,3,1,0,0,0.3333333333333333,0.0,0,3,0
1,4,3,0,2,1,3,0,0,0.3333333333333333,0.5,2,4,0
1,5,0,0,0,1,1,0,2,0.3333333333333333,0.6666666666666666,2,3,1
0,2,0,0,0,1,0,0,3,0.0,0.6666666666666666,2,2,1
1,3,3,1,1,1,3,0,0,0.3333333333333333,0.6666666666666666,2,4,0
0,6,1,0,0,1,3,0,0,0.0,1.0,1,3,0
1,6,1,0,1,3,1,0,0,0.6666666666666666,1.0,1,3,0
1,4,1,1,0,1,1,2,0,0.3333333333333333,1.0,1,1,0
2,2,0,1,0,2,1,1,0,0.5,1.0,1,2,0
2,5,0,1,0,2,1,1,0,0.6666666666666666,1.0,1,3,1
2,1,0,0,0,2,1,1,0,0.6666666666666666,0.0,0,3,1
1,2,0,1,0,3,0,0,2,0.5,1.0,1,0,1
2,6,0,1,0,3,0,0,2,0.3333333333333333,1.0,1,4,1
1,4,2,0,1,2,2,1,0,0.3333333333333333,1.0,1,3,0
2,1,2,0,1,1,2,2,0,0.3333333333333333,1.0,1,4,0
2,5,1,1,0,2,2,1,0,0.5,1.0,1,4,0
2,1,0,1,0,2,0,1,0,0.5,1.0,1,2,0
2,4,0,1,0,2,0,1,0,0.5,1.0,1,4,1
0,6,0,0,0,3,0,0,0,0.0,1.0,1,3,0
1,5,0,0,0,2,0,1,0,0.5,1.0,1,3,1
2,2,0,1,0,3,0,0,0,0.5,1.0,1,4,0
3,5,0,1,0,3,0,0,0,0.5,1.0,1,3,0
1,3,0,0,0,2,0,1,0,0.5,1.0,1,1,1
2,2,0,1,0,3,0,0,0,0.5,1.0,1,3,1
1,6,0,1,0,3,0,0,0,0.3333333333333333,1.0,1,2,0
0,4,0,0,0,0,0,3,0,0.0,0.0,0,1,0
1,6,3,0,1,2,3,0,0,0.3333333333333333,1.0,1,4,0
2,4,1,1,0,2,1,0,2,0.6666666666666666,1.0,1,3,1
1,2,2,0,1,1,3,1,0,0.6666666666666666,1.0,1,4,0
1,1,0,1,0,1,1,1,2,0.6666666666666666,1.0,1,3,1
1,5,1,0,1,1,3,1,0,0.3333333333333333,1.0,1,4,0
1,6,1,0,1,3,1,0,0,0.3333333333333333,1.0,1,4,0
1,1,1,1,0,1,1,2,0,0.6666666666666666,1.0,1,1,0
2,5,0,1,0,2,1,1,0,0.6666666666666666,1.0,1,2,1
2,2,0,0,0,2,1,1,0,0.5,1.0,1,4,0
2,4,0,1,0,1,1,2,0,0.6666666666666666,1.0,1,4,1
3,3,1,1,1,2,1,1,0,0.5,0.6,2,4,0
2,2,0,0,0,2,1,1,0,0.3333333333333333,1.0,1,4,0
2,4,0,1,0,2,1,1,0,0.5,1.0,1,3,1
1,6,1,1,0,3,1,0,0,0.3333333333333333,1.0,1,1,1
0,1,0,0,0,1,1,2,0,0.0,1.0,1,4,0
1,3,1,0,1,3,1,0,0,0.6666666666666666,1.0,1,2,0
2,4,1,1,0,2,0,1,1,0.6666666666666666,1.0,1,4,1
2,6,0,0,0,1,1,2,0,0.5,1.0,1,4,0
2,5,0,1,0,2,1,1,0,0.6666666666666666,1.0,1,3,1
1,1,0,1,0,1,1,2,0,0.3333333333333333,1.0,1,4,0
1,3,0,1,0,1,1,1,2,0.5,0.6,2,3,1
2,4,3,1,1,1,2,1,1,0.5,0.6666666666666666,2,4,0
1,2,3,0,1,2,3,0,0,0.3333333333333333,1.0,1,4,0
1,6,0,0,0,2,2,0,1,0.3333333333333333,1.0,1,1,1
0,1,2,0,1,1,3,1,0,0.0,1.0,1,4,0
2,4,3,0,2,1,2,1,1,0.3333333333333333,0.6,2,4,0
0,6,0,1,0,2,1,0,2,0.0,1.0,1,0,1
1,5,2,0,0,1,3,1,0,0.3333333333333333,1.0,1,2,0
1,1,2,0,1,0,3,2,0,0.3333333333333333,1.0,1,4,0
2,2,0,1,0,2,0,0,3,0.3333333333333333,1.0,1,4,1
0,6,3,0,2,0,3,1,0,0.0,0.6,2,4,0
0,5,3,0,0,1,3,0,0,0.0,1.0,1,2,0
0,3,2,0,1,0,3,1,0,0.0,1.0,1,4,0
1,4,0,1,0,1,0,0,3,1.0,1.0,1,3,1
1,1,0,0,0,1,1,0,2,1.0,1.0,1,4,1
2,2,2,1,1,2,2,1,0,0.6666666666666666,0.8,2,3,0
1,6,0,0,0,2,1,1,1,0.6666666666666666,1.0,1,4,0
3,5,0,1,0,2,1,1,1,0.6666666666666666,1.0,1,4,1
1,4,2,0,1,1,1,2,1,0.3333333333333333,1.0,1,3,0
2,3,0,1,0,2,2,1,0,0.6666666666666666,1.0,1,4,1
2,2,2,1,1,2,2,1,0,0.5,0.8,2,4,0
1,4,1,0,1,2,1,1,1,0.3333333333333333,1.0,1,1,0
2,6,0,1,0,3,1,0,1,0.6666666666666666,1.0,1,3,1
1,5,2,1,0,2,2,1,0,0.6666666666666666,1.0,1,4,0
2,3,0,0,0,2,1,1,1,0.6666666666666666,1.0,1,4,1
1,1,1,0,1,0,1,2,0,0.3333333333333333,0.8,2,4,0
2,3,1,1,0,2,1,0,0,0.5,0.6666666666666666,2,4,0
1,4,0,1,0,1,0,1,1,0.5,0.8,2,3,1
1,5,0,0,0,2,1,0,0,0.3333333333333333,1.0,1,4,1
0,6,0,0,0,1,1,1,0,0.0,1.0,1,2,0
3,6,2,1,1,3,2,0,0,0.3333333333333333,0.6,2,4,1
1,3,1,0,0,2,1,1,1,0.3333333333333333,1.0,1,1,0
1,4,0,1,0,1,0,2,2,0.3333333333333333,1.0,1,2,1
2,2,1,0,1,2,2,1,0,0.3333333333333333,1.0,1,4,0
2,5,0,1,0,2,2,1,0,0.3333333333333333,1.0,1,4,0
1,3,0,1,0,2,0,1,0,0.5,1.0,1,0,1
2,2,0,1,0,3,0,0,0,0.5,1.0,1,2,1
2,6,0,1,0,3,0,0,0,0.5,1.0,1,2,0
2,5,0,0,0,2,0,1,0,0.5,0.0,0,1,0
0,4,0,0,0,1,0,2,0,0.0,0.0,0,0,0
1,4,0,1,0,1,0,2,0,0.5,1.0,1,1,1
1,6,0,0,0,3,0,0,0,0.3333333333333333,1.0,1,2,0
2,3,0,1,0,3,0,0,0,0.5,1.0,1,3,0
3,5,0,1,0,3,0,0,0,0.5,1.0,1,3,1
0,1,0,0,0,2,0,1,0,0.0,0.0,0,0,0
2,6,2,0,1,3,2,0,0,0.6666666666666666,1.0,1,3,0
2,2,1,1,0,2,2,1,0,0.3333333333333333,1.0,1,4,0
1,3,1,0,1,0,2,3,0,0.3333333333333333,1.0,1,4,0
2,1,0,1,0,3,2,0,0,0.6666666666666666,1.0,1,3,1
2,4,0,1,0,2,1,1,1,0.6666666666666666,1.0,1,4,1
1,6,1,1,0,2,1,1,0,0.5,1.0,1,3,0
3,2,0,0,0,3,0,0,1,0.6666666666666666,1.0,1,4,1
2,4,0,1,0,1,1,2,0,0.6666666666666666,1.0,1,4,0
1,3,1,0,1,2,1,1,0,0.3333333333333333,1.0,1,3,0
1,5,0,1,0,2,1,1,0,0.6666666666666666,1.0,1,4,1
0,3,2,0,1,0,3,0,0,0.0,1.0,1,1,0
0,6,3,0,1,0,3,0,0,0.0,1.0,1,2,0
0,5,2,0,1,0,3,0,0,0.0,1.0,1,2,0
0,1,0,0,0,0,1,0,2,0.0,0.0,0,0,1
0,2,0,0,0,0,0,0,3,0.0,0.0,0,0,1
2,2,1,0,1,2,2,1,0,0.6666666666666666,1.0,1,4,0
2,4,1,1,0,1,1,2,1,0.3333333333333333,1.0,1,3,0
1,1,1,0,1,1,2,2,0,0.3333333333333333,1.0,1,2,0
2,6,1,1,0,3,1,0,1,0.6666666666666666,1.0,1,4,1
2,5,0,1,0,2,2,1,0,0.6666666666666666,1.0,1,4,1
3,4,1,0,1,1,1,2,1,0.3333333333333333,1.0,1,4,0
2,3,0,1,0,3,2,0,0,0.3333333333333333,1.0,1,4,0
1,5,1,0,1,1,2,2,0,0.3333333333333333,1.0,1,3,0
1,1,0,1,0,2,1,1,1,0.3333333333333333,1.0,1,3,1
2,6,2,1,0,3,2,0,0,0.3333333333333333,1.0,1,4,1
1,4,0,1,0,1,1,2,0,0.5,1.0,1,0,0
3,3,0,1,0,3,1,0,0,0.6666666666666666,1.0,1,3,1
1,5,1,0,1,2,1,1,0,0.3333333333333333,1.0,1,2,0
1,1,1,1,0,2,1,1,0,0.6666666666666666,1.0,1,3,0
2,6,0,0,0,3,0,0,1,0.6666666666666666,0.0,0,3,1
2,3,0,1,0,2,0,1,0,0.5,1.0,1,1,0
2,4,0,1,0,3,0,0,0,0.5,1.0,1,2,1
2,1,0,1,0,3,0,0,0,0.5,1.0,1,2,0
1,2,0,0,0,3,0,0,0,0.5,0.0,0,0,1
0,6,0,0,0,3,0,0,0,0.0,0.0,0,0,0
1,4,1,0,1,1,1,2,0,0.3333333333333333,1.0,1,2,0
2,3,0,0,0,3,1,0,0,0.6666666666666666,1.0,1,4,1
1,6,0,1,0,2,1,1,0,0.5,1.0,1,3,0
2,5,0,1,0,2,1,1,0,0.6666666666666666,1.0,1,4,1
2,1,1,1,0,1,1,2,0,0.6666666666666666,1.0,1,4,0
1,6,0,1,0,3,0,0,0,0.5,1.0,1,0,0
3,5,0,1,0,3,0,0,0,1.0,1.0,1,2,1
1,1,0,1,0,2,0,1,0,1.0,1.0,1,2,1
1,4,0,0,0,2,0,1,0,0.3333333333333333,0.0,0,1,0
1,3,0,0,0,3,0,0,0,0.3333333333333333,0.0,0,1,0
0,2,3,0,2,1,3,1,0,0.0,0.6,2,4,0
2,5,0,1,0,2,1,0,2,1.0,1.0,1,3,1
1,4,0,1,0,1,1,1,2,1.0,1.0,1,2,1
1,6,3,0,0,2,3,0,0,0.3333333333333333,1.0,1,4,0
1,1,2,0,1,1,3,1,0,0.3333333333333333,1.0,1,4,0
2,6,1,0,1,3,1,0,0,0.6666666666666666,1.0,1,3,0
1,4,1,1,0,1,1,2,0,0.3333333333333333,1.0,1,1,0
1,1,0,1,0,1,1,2,0,0.5,1.0,1,2,0
3,5,0,1,0,3,1,0,0,0.6666666666666666,1.0,1,3,1
1,3,0,0,0,2,1,1,0,0.6666666666666666,0.0,0,3,1
2,5,0,2,0,2,1,1,0,0.5,0.8,2,4,0
1,6,0,0,0,3,0,0,1,0.3333333333333333,1.0,1,0,1
2,3,1,1,0,2,1,1,0,0.3333333333333333,1.0,1,3,0
1,1,1,0,1,1,1,2,0,0.3333333333333333,1.0,1,4,0
2,2,0,0,0,3,0,0,1,0.5,1.0,1,4,1
2,1,1,1,1,3,1,0,0,0.3333333333333333,0.6,2,3,1
2,2,1,1,0,3,1,0,0,0.3333333333333333,1.0,1,4,0
2,5,0,1,0,2,1,1,0,0.5,1.0,1,3,1
0,6,0,0,0,1,1,2,0,0.0,1.0,1,4,0
2,4,0,0,0,2,0,1,1,0.5,1.0,1,4,0
1,4,1,0,1,1,1,2,0,0.3333333333333333,1.0,1,1,0
2,5,0,1,0,3,1,0,0,0.3333333333333333,1.0,1,3,1
2,1,0,1,0,3,1,0,0,0.5,1.0,1,2,1
2,2,1,1,0,2,1,1,0,0.5,1.0,1,3,0
1,6,0,0,0,3,1,0,0,0.3333333333333333,0.0,0,3,0
1,1,0,1,0,2,1,1,0,0.5,1.0,1,0,1
2,2,1,1,0,3,1,0,0,0.3333333333333333,1.0,1,3,0
1,6,1,0,1,2,1,1,0,0.3333333333333333,1.0,1,2,0
3,5,0,1,0,3,0,0,1,0.5,1.0,1,3,1
1,3,0,0,0,2,0,1,1,0.3333333333333333,0.0,0,3,0
0,2,2,0,1,0,3,0,0,0.0,1.0,1,1,0
0,3,2,0,1,0,3,0,0,0.0,1.0,1,2,0
0,1,3,0,1,0,3,0,0,0.0,1.0,1,2,0
0,6,0,0,0,0,0,0,3,0.0,0.0,0,0,1
0,4,0,0,0,0,0,0,3,0.0,0.0,0,0,1
2,1,0,1,0,3,0,0,0,0.5,1.0,1,3,1
3,3,0,0,0,3,0,0,0,0.5,1.0,1,4,1
1,5,0,0,0,2,0,1,0,0.3333333333333333,1.0,1,3,0
0,6,0,1,0,2,0,1,0,0.0,1.0,1,2,0
1,4,0,1,0,1,0,2,0,0.5,1.0,1,4,0
3,5,2,0,1,3,2,0,0,0.3333333333333333,1.0,1,4,0
1,2,0,1,0,3,1,0,1,0.3333333333333333,1.0,1,1,1
2,3,1,0,1,1,2,2,0,0.3333333333333333,1.0,1,4,0
1,4,0,1,0,1,1,2,1,0.3333333333333333,1.0,1,3,0
2,6,1,1,0,3,1,0,1,0.3333333333333333,1.0,1,4,1
1,4,1,0,1,1,1,2,0,0.3333333333333333,1.0,1,4,0
1,6,1,0,0,3,1,0,0,0.3333333333333333,1.0,1,4,0
2,5,0,1,0,2,1,1,0,0.5,1.0,1,3,0
2,1,0,1,0,3,1,0,0,0.5,1.0,1,3,1
2,3,0,1,0,3,1,0,0,0.3333333333333333,1.0,1,4,1
2,2,0,1,0,3,0,0,1,0.5,1.0,1,1,1
2,1,1,1,0,2,1,1,0,0.3333333333333333,1.0,1,3,0
2,5,1,0,1,2,1,1,0,0.5,1.0,1,3,0
2,6,0,1,0,2,0,1,1,0.3333333333333333,1.0,1,3,1
0,4,0,0,0,0,1,3,0,0.0,0.0,0,0,0
2,4,1,0,1,2,1,1,0,0.5,1.0,1,3,1
2,2,0,1,0,2,1,1,0,0.3333333333333333,1.0,1,4,0
2,3,1,1,0,3,1,0,0,0.5,1.0,1,3,0
1,6,0,0,0,3,1,0,0,0.3333333333333333,1.0,1,4,0
1,5,0,1,0,2,1,1,0,0.3333333333333333,1.0,1,4,1
0,1,3,0,2,1,3,0,0,0.0,0.6,2,3,0
1,6,2,0,1,0,3,1,0,0.5,1.0,1,4,0
0,5,3,0,0,1,3,0,0,0.0,1.0,1,2,0
0,2,0,0,0,1,0,0,3,0.0,1.0,1,3,1
1,4,0,1,0,1,0,0,3,0.5,1.0,1,4,1
3,5,2,0,1,3,2,0,0,0.3333333333333333,1.0,1,4,0
2,6,0,1,0,3,1,0,1,0.3333333333333333,1.0,1,4,1
1,1,1,0,1,1,2,2,0,0.3333333333333333,1.0,1,2,0
1,4,1,1,0,1,1,2,1,0.3333333333333333,1.0,1,3,1
2,2,0,1,0,2,2,1,0,0.3333333333333333,1.0,1,4,0
2,2,2,1,1,2,3,0,0,0.3333333333333333,0.8,2,4,0
1,3,3,1,1,1,3,1,0,0.3333333333333333,0.6666666666666666,2,4,0
1,1,2,0,1,0,3,2,0,0.3333333333333333,1.0,1,3,0
1,5,0,0,0,1,2,1,1,0.3333333333333333,1.0,1,3,1
1,6,0,0,0,2,0,0,3,0.3333333333333333,1.0,1,4,1
2,5,0,1,0,2,0,0,3,0.6666666666666666,0.6,2,4,1
1,3,0,0,0,2,1,0,2,0.6666666666666666,0.8333333333333334,2,2,1
1,2,2,1,1,2,3,0,0,0.6666666666666666,0.8333333333333334,2,3,0
1,4,3,0,2,0,3,2,0,0.5,0.6,2,4,0
0,6,3,0,0,2,2,0,1,0.0,1.0,1,4,0
0,1,3,0,1,0,3,2,0,0.0,0.6,2,4,0
1,4,2,1,0,2,3,0,0,0.3333333333333333,0.8333333333333334,2,4,0
1,2,0,1,0,2,0,0,3,0.5,0.8,2,3,1
1,3,0,0,0,2,1,0,2,0.3333333333333333,0.6666666666666666,2,3,1
2,6,3,0,2,1,3,1,0,0.5,0.5,2,4,0
3,3,0,1,0,3,0,0,0,0.5,1.0,1,2,1
1,4,0,1,0,2,0,1,0,0.3333333333333333,1.0,1,1,0
2,5,0,1,0,3,0,0,0,0.5,1.0,1,2,0
1,6,0,0,0,3,0,0,0,0.5,0.0,0,0,0
0,2,0,0,0,3,0,0,0,0.0,0.0,0,0,1
2,4,1,1,1,2,2,1,0,0.6666666666666666,0.8,2,2,0
2,5,2,0,0,2,2,1,0,0.3333333333333333,1.0,1,4,0
1,6,0,1,0,3,0,0,2,0.6666666666666666,1.0,1,1,1
1,3,1,0,1,0,2,3,0,0.3333333333333333,1.0,1,4,0
3,1,0,1,0,3,2,0,0,0.6666666666666666,1.0,1,4,1
3,4,1,2,1,2,2,1,0,0.6666666666666666,0.625,3,4,1
1,6,0,0,0,3,1,0,1,0.6666666666666666,0.5,2,0,1
2,5,0,1,0,3,2,0,0,0.6666666666666666,0.6666666666666666,2,3,0
2,1,2,0,0,1,2,2,0,0.3333333333333333,0.6,2,4,0
1,3,1,0,1,1,2,2,0,0.3333333333333333,0.6,2,4,0
1,6,1,0,1,1,1,2,0,0.3333333333333333,0.6,2,4,0
2,2,1,2,0,3,1,0,0,0.6666666666666666,0.6666666666666666,2,3,0
1,1,0,1,0,1,1,2,0,0.5,1.0,1,4,0
2,4,0,0,0,1,0,2,1,0.6666666666666666,1.0,1,3,1
2,3,0,0,0,3,1,0,0,0.6666666666666666,1.0,1,4,1
0,6,1,0,1,3,2,0,0,0.0,1.0,1,0,0
3,1,1,1,0,3,1,0,1,0.6666666666666666,1.0,1,4,1
2,3,1,0,1,2,2,1,0,0.6666666666666666,1.0,1,4,0
2,4,0,1,0,1,2,2,0,0.6666666666666666,1.0,1,3,1
2,2,1,1,0,2,2,1,0,0.3333333333333333,1.0,1,4,0
2,3,0,1,0,2,0,1,0,0.5,1.0,1,1,0
1,1,0,1,0,3,0,0,0,0.3333333333333333,1.0,1,1,1
2,2,0,1,0,3,0,0,0,0.5,1.0,1,2,1
1,5,0,0,0,2,0,1,0,0.5,0.0,0,2,0
1,6,0,0,0,2,0,1,0,0.3333333333333333,0.0,0,1,0
2,5,0,1,0,2,0,0,3,0.5,0.75,2,2,1
1,4,3,0,1,1,3,1,0,0.3333333333333333,0.6,2,4,0
0,6,0,1,0,1,1,1,2,0.0,0.5,2,1,1
1,3,3,0,1,2,3,0,0,0.3333333333333333,0.6,2,4,0
1,2,2,0,1,1,3,1,0,0.5,0.6,2,4,0
1,5,1,0,1,1,1,2,0,0.5,1.0,1,2,0
2,1,1,1,0,2,1,1,0,0.5,1.0,1,2,1
2,6,0,1,0,3,1,0,0,0.3333333333333333,1.0,1,3,0
2,4,0,1,0,3,1,0,0,0.3333333333333333,1.0,1,3,0
1,3,0,0,0,2,1,1,0,0.3333333333333333,0.0,0,3,1
0,3,3,0,2,0,3,1,0,0.0,0.6,2,4,0
1,2,2,0,1,1,3,0,0,0.5,1.0,1,4,0
1,5,0,1,0,1,1,0,2,0.5,1.0,1,2,1
0,4,3,0,0,0,3,1,0,0.0,1.0,1,3,0
0,6,0,0,0,1,1,0,2,0.0,1.0,1,4,1
3,1,1,1,1,3,2,0,0,0.3333333333333333,0.6,2,1,1
2,5,0,2,0,2,2,1,0,0.3333333333333333,0.6666666666666666,2,4,0
0,6,0,0,0,3,0,0,2,0.0,1.0,1,2,1
2,3,1,0,1,2,2,1,0,0.3333333333333333,1.0,1,4,0
2,4,2,0,0,0,1,3,1,0.3333333333333333,1.0,1,4,0
2,3,0,2,0,2,1,0,2,1.0,0.45454545454545453,4,3,1
1,4,3,0,3,1,3,1,0,0.6666666666666666,0.2727272727272727,4,4,0
0,2,2,0,0,2,3,0,0,0.0,0.3333333333333333,3,4,0
0,6,3,0,0,2,2,0,1,0.0,0.4444444444444444,3,4,0
2,5,0,0,0,1,0,1,3,1.0,0.4444444444444444,3,4,1
2,2,1,0,1,2,1,1,0,0.5,1.0,1,2,0
2,6,0,1,0,3,0,0,1,0.6666666666666666,1.0,1,3,1
2,3,0,1,0,2,1,1,0,0.6666666666666666,1.0,1,3,1
2,5,0,1,0,3,1,0,0,0.6666666666666666,1.0,1,3,0
0,1,1,0,0,0,1,3,0,0.0,0.0,0,0,0
3,4,2,0,1,2,2,1,0,0.5,1.0,1,4,0
1,5,2,1,0,2,2,1,0,0.3333333333333333,1.0,1,3,0
1,2,0,1,0,3,0,0,2,0.5,1.0,1,2,1
1,6,1,0,1,2,2,1,0,0.3333333333333333,1.0,1,4,0
2,1,0,1,0,3,1,0,1,0.3333333333333333,1.0,1,4,1
2,6,1,0,1,3,1,0,1,0.3333333333333333,1.0,1,4,1
1,1,0,1,0,3,2,0,0,0.3333333333333333,1.0,1,1,1
2,5,2,0,1,2,2,1,0,0.3333333333333333,1.0,1,4,0
2,4,0,1,0,2,1,1,1,0.3333333333333333,1.0,1,3,0
2,3,1,1,0,2,2,1,0,0.3333333333333333,1.0,1,4,0
1,4,1,0,1,0,1,3,0,0.3333333333333333,1.0,1,3,0
2,1,0,1,0,3,1,0,0,0.3333333333333333,1.0,1,3,1
1,3,0,1,0,1,1,2,0,0.5,1.0,1,2,1
1,6,0,1,0,3,1,0,0,0.3333333333333333,1.0,1,1,0
3,5,1,0,0,3,1,0,0,0.5,0.0,0,3,0
2,4,0,1,0,2,0,1,0,0.5,1.0,1,4,0
2,2,0,0,0,3,0,0,0,0.6666666666666666,1.0,1,3,1
0,6,0,0,0,2,0,1,0,0.0,1.0,1,2,0
1,1,0,1,0,2,0,1,0,0.6666666666666666,1.0,1,3,0
2,3,0,1,0,3,0,0,0,0.6666666666666666,1.0,1,4,1
1,6,0,1,0,1,0,2,0,0.5,1.0,1,0,0
2,3,0,1,0,3,0,0,0,0.5,1.0,1,1,1
1,5,0,1,0,2,0,1,0,0.5,1.0,1,2,0
2,1,0,0,0,3,0,0,0,0.5,0.0,0,2,1
1,4,0,0,0,1,0,2,0,0.3333333333333333,0.0,0,1,0
3,5,0,1,0,3,0,0,0,0.5,1.0,1,2,0
2,1,0,1,0,3,0,0,0,0.5,1.0,1,2,1
1,6,0,1,0,3,0,0,0,0.3333333333333333,1.0,1,1,0
1,2,0,0,0,3,0,0,0,0.5,0.0,0,0,1
0,3,0,0,0,2,0,1,0,0.0,0.0,0,0,0
2,5,0,2,0,2,0,1,2,0.5,0.8,2,0,1
2,2,1,0,0,3,2,0,0,0.3333333333333333,0.6666666666666666,2,4,0
1,1,1,0,1,1,1,2,1,0.3333333333333333,0.5,2,4,0
2,4,2,1,1,2,2,1,0,0.5,0.6,2,3,0
1,6,1,0,0,2,1,1,1,0.3333333333333333,1.0,1,4,1
3,4,0,1,0,2,0,1,1,0.5,0.8,2,1,1
1,6,0,2,0,3,0,0,1,0.3333333333333333,0.6666666666666666,2,1,0
2,2,1,0,0,3,1,0,0,0.3333333333333333,1.0,1,4,0
1,5,0,0,0,1,1,2,0,0.5,1.0,1,3,1
1,3,1,0,1,2,1,1,0,0.3333333333333333,1.0,1,4,0
2,4,1,0,1,0,1,3,1,0.3333333333333333,1.0,1,4,1
3,3,1,1,0,3,2,0,0,0.3333333333333333,1.0,1,4,0
3,1,2,0,1,0,2,3,0,0.3333333333333333,1.0,1,4,0
1,2,0,1,0,3,1,0,1,0.3333333333333333,1.0,1,3,1
0,6,0,1,0,3,2,0,0,0.0,1.0,1,0,0
1,4,1,0,1,1,2,0,1,0.3333333333333333,1.0,1,1,1
1,6,2,1,0,1,3,0,0,0.3333333333333333,1.0,1,3,0
0,5,2,0,1,0,3,1,0,0.0,1.0,1,3,0
1,2,2,0,1,1,3,0,0,0.3333333333333333,1.0,1,3,0
0,3,0,0,0,0,2,1,1,0.0,0.0,0,0,1
1,4,3,1,1,1,3,1,0,0.5,0.8,2,4,0
0,2,3,0,1,2,3,0,0,0.0,1.0,1,4,0
1,3,0,1,0,2,0,0,3,1.0,1.0,1,2,1
0,6,3,0,1,1,3,1,0,0.0,1.0,1,3,0
2,5,0,0,0,2,0,0,3,1.0,1.0,1,4,1
1,3,1,0,1,1,1,2,0,0.3333333333333333,1.0,1,2,0
1,4,0,0,0,2,0,1,1,0.3333333333333333,1.0,1,4,0
3,6,0,1,0,2,1,1,0,0.5,1.0,1,4,0
1,2,0,1,0,3,1,0,0,0.5,1.0,1,3,1
2,1,1,1,0,2,1,1,0,0.3333333333333333,1.0,1,4,1
1,4,2,0,1,0,2,2,1,0.3333333333333333,1.0,1,4,0
1,1,1,0,1,2,2,0,1,0.5,1.0,1,2,1
2,3,1,1,0,2,2,0,1,0.5,1.0,1,4,0
1,6,1,1,0,2,1,0,2,0.3333333333333333,1.0,1,3,1
0,5,3,0,1,1,3,1,0,0.0,1.0,1,4,0
1,6,3,1,1,2,3,0,0,0.5,0.5,3,4,0
2,5,0,1,0,2,0,0,3,0.6666666666666666,0.8333333333333334,2,1,1
1,4,0,0,0,1,0,1,3,0.6666666666666666,0.6,2,3,1
0,2,2,0,0,1,3,1,0,0.0,0.8,2,4,0
1,1,3,0,2,2,3,0,0,0.6666666666666666,0.6,2,4,0
1,5,0,1,0,1,0,0,3,0.5,1.0,1,0,1
1,1,3,0,1,1,3,0,0,0.5,1.0,1,4,0
0,3,3,0,1,1,3,0,0,0.0,1.0,1,4,0
0,2,0,0,0,1,0,0,3,0.0,1.0,1,3,1
0,6,2,0,1,1,3,0,0,0.0,1.0,1,4,0
3,5,0,1,0,3,0,0,0,0.5,1.0,1,2,1
1,6,0,1,0,3,0,0,0,0.5,1.0,1,0,1
2,1,0,1,0,2,0,1,0,0.5,1.0,1,2,0
1,3,0,0,0,2,0,1,0,0.3333333333333333,0.0,0,1,0
0,2,0,0,0,2,0,1,0,0.0,0.0,0,0,0
1,3,1,0,1,1,1,2,0,0.3333333333333333,1.0,1,4,0
1,6,0,0,0,3,0,0,1,0.5,1.0,1,3,1
1,2,0,1,0,2,1,1,0,0.3333333333333333,1.0,1,2,0
3,5,0,1,0,3,1,0,0,0.5,1.0,1,4,1
2,4,1,1,0,2,1,1,0,0.3333333333333333,1.0,1,4,0
2,2,0,1,0,3,0,0,0,0.5,1.0,1,2,1
2,3,0,1,0,2,0,1,0,0.5,1.0,1,1,0
2,4,0,1,0,2,0,1,0,0.5,1.0,1,2,0
0,1,0,0,0,1,0,2,0,0.0,0.0,0,0,0
1,6,0,0,0,3,0,0,0,0.3333333333333333,0.0,0,1,1
1,5,1,0,1,2,1,1,0,0.3333333333333333,1.0,1,3,0
2,1,1,1,0,3,1,0,0,0.3333333333333333,1.0,1,3,1
3,2,0,1,0,3,1,0,0,0.5,1.0,1,3,0
1,6,0,1,0,3,1,0,0,0.3333333333333333,1.0,1,1,0
1,4,0,0,0,0,1,3,0,0.5,0.0,0,2,1
1,2,3,0,2,1,3,1,0,0.5,0.8,2,4,0
